Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1913,-.39,-.44,-.42,-.39,-.43,-.44,-.35,-.33,-.34,-.32,-.19,-.02,-.34,-.37,-.42,-.41,-.38,-.28
1914,.05,-.09,-.23,-.29,-.20,-.25,-.23,-.15,-.16,-.03,-.15,-.03,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.21,-.12,-.22,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.11,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.46,-.81,-.35,-.30,-.16,-.30,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.55,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.33,-.24,-.44,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.32,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.27,-.26,-.24,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.26,-.36,-.30,-.26,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.30,-.25
1921,-.04,-.17,-.23,-.29,-.30,-.27,-.14,-.26,-.19,-.03,-.13,-.17,-.18,-.21,-.22,-.27,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.31,-.27,-.32,-.36,-.32,-.14,-.18,-.28,-.28,-.31,-.23,-.30,-.27
1923,-.27,-.39,-.34,-.41,-.33,-.29,-.30,-.32,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.05,-.33,-.22,-.21,-.25,-.31,-.23,-.06
1928,-.01,-.09,-.25,-.27,-.29,-.38,-.19,-.22,-.21,-.18,-.08,-.16,-.20,-.21,-.14,-.27,-.26,-.16
1929,-.45,-.58,-.32,-.41,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.16
1930,-.29,-.26,-.11,-.24,-.23,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.15,-.19,-.36,-.19,-.19,-.03
1931,-.10,-.20,-.10,-.22,-.19,-.08,-.03,-.03,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.16,-.17,-.17,-.05,-.17,-.28,-.24,-.22,-.10,-.08,-.27,-.25,-.15,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.21,-.02,-.29,-.31,-.09,-.15,-.10,-.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.33,.14,-.14,-.36,-.28,-.26,-.21,-.22,-.21,-.05,-.25,-.16,-.20,-.18,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.21,-.20,-.16,-.21,-.09,-.13,-.09,-.03,.02,.00,-.14,-.16,-.27,-.19,-.14,-.03
1937,-.06,.03,-.20,-.15,-.05,-.05,-.03,.02,.09,.09,.09,-.07,-.02,-.02,-.01,-.13,-.02,.09
1938,.09,.04,.10,.06,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.01,.02,.02,-.10,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.01,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.10,.18,.11,.12,.13,.07,.15,.12,.17,.32,.13,.14,.17,.13,.11,.15
1941,.18,.31,.10,.17,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.15,.16,.20
1942,.30,.02,.05,.10,.11,.05,.01,-.04,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.25,.26,.19,.19,.16,.18,.18,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.19,.06,.01,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.11,.10,.15
1946,.15,.03,.01,.06,-.07,-.21,-.12,-.20,-.08,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.07,.06,-.01,-.01,-.04,-.07,-.12,.08,.03,-.13,-.02,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,.00,-.05,-.11,-.11,-.14,-.05,-.12,-.24,-.10,-.10,-.07,-.12,-.09,-.10
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.23,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.12,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.18,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.09,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.03
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.08,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.12,-.18,-.15,-.08,-.09
1966,-.19,-.04,.04,-.13,-.12,.01,.08,-.09,-.03,-.16,-.01,-.02,-.06,-.06,-.10,-.07,.00,-.07
1967,-.07,-.20,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.25,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.09,.09,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.05
1971,-.02,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.09,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.23,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.33,.29,.27,.23,.19,.13,.05,.09,.10,.05,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.11,-.04,-.05,-.03,.11,-.07,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.13,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.21,-.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.30,.39,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.15,.04,.14,.13,.18,.43,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.28,.34,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.14,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.16,.10,.13,.18,.18,.26,.25,.13,.10
1987,.32,.43,.18,.24,.26,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.51,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.34,.29,.20,.37,.27,.27,.24,.28,.28,.28
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.44,.46,.41,.45,.44,.41,.60,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.40,.41,.44,.40,.46,.34
1992,.48,.40,.48,.27,.31,.26,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.04,.18,.23,.23,.31,.31,.20,.13
1994,.26,.02,.29,.41,.28,.44,.30,.22,.32,.42,.44,.38,.32,.30,.16,.33,.32,.39
1995,.53,.79,.47,.47,.27,.43,.46,.45,.34,.47,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.32,.33,.27,.25,.36,.48,.25,.20,.38,.37,.33,.32,.32,.31,.37,.28
1997,.29,.41,.51,.33,.34,.54,.34,.41,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.65,.42,.41,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.38,.26,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.44,.55,.50,.57,.52,.59,.49,.52,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.70,.70,.55,.58
2003,.75,.58,.59,.55,.61,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.58,.57,.62
2004,.58,.72,.63,.61,.37,.44,.26,.45,.50,.60,.72,.50,.53,.55,.68,.53,.38,.61
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.75,.73,.68,.67,.66,.61,.68,.62,.73
2006,.56,.73,.63,.47,.48,.65,.53,.71,.65,.69,.74,.79,.63,.63,.65,.52,.63,.69
2007,1.02,.70,.72,.76,.69,.61,.60,.60,.60,.58,.59,.50,.66,.69,.84,.72,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.46,.61,.67,.69,.54,.54,.54,.39,.59,.51,.65
2009,.65,.52,.54,.61,.65,.64,.73,.68,.72,.65,.79,.68,.65,.64,.57,.60,.69,.72
2010,.75,.83,.92,.84,.75,.68,.62,.67,.63,.70,.81,.45,.72,.74,.75,.84,.66,.71
2011,.52,.48,.65,.65,.53,.62,.70,.74,.57,.66,.58,.60,.61,.60,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.65,.72,.79,.78,.53,.65,.65,.53,.69,.63,.77
2013,.71,.62,.67,.54,.61,.69,.60,.69,.76,.69,.83,.69,.67,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.82,.87,.80,.66,.78,.74,.74,.66,.81,.69,.78
2015,.85,.90,.95,.76,.80,.81,.73,.80,.85,1.09,1.05,1.16,.89,.86,.84,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.84,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.88,.90
2017,1.02,1.13,1.16,.94,.91,.71,.81,.87,.76,.90,.88,.93,.92,.91,1.00,1.00,.80,.85
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.01,.82,.91,.84,.85,.86,.86,.78,.88
2019,.93,.94,1.17,1.01,.85,.91,.94,.94,.92,1.01,.99,1.08,.97,.96,.93,1.01,.93,.97
2020,1.16,1.24,1.17,1.13,1.02,.92,.90,.87,.99,.88,1.10,.81,1.02,1.04,1.16,1.10,.90,.99
2021,.81,.64,.88,.75,.78,.84,.92,.81,.92,.99,.92,.85,.84,.84,.75,.81,.85,.94
2022,.91,.89,1.05,.83,.83,.92,.93,.94,.88,***,***,***,***,***,.88,.90,.93,***
